issue,kind,case_id,mode,issue_file,evidence
STREAD-005,query,advanced_grouping_sets,query_sql,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_grouping_sets.json
STREAD-005,query,advanced_grouping_rollup,query_sql,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_grouping_rollup.json
STREAD-005,query,advanced_grouping_cube,query_sql,005-grouping-extensions-with-limit-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_grouping_cube.json
STREAD-010,query,advanced_null_aggregate_empty_table,pruned,010-empty-tables-cannot-be-read.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_null_aggregate_empty_table.json
STREAD-010,query,advanced_null_aggregate_empty_table,fullscan,010-empty-tables-cannot-be-read.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_null_aggregate_empty_table.json
STREAD-010,query,advanced_null_aggregate_empty_table,stream,010-empty-tables-cannot-be-read.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_null_aggregate_empty_table.json
STREAD-010,query,advanced_null_aggregate_empty_table,auto,010-empty-tables-cannot-be-read.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_null_aggregate_empty_table.json
STREAD-010,query,advanced_null_aggregate_empty_table,query_sql,010-empty-tables-cannot-be-read.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_null_aggregate_empty_table.json
STREAD-004,query,advanced_date_date_diff,pruned,004-date-diff-rewrite-corrupts-arguments.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_date_date_diff.json
STREAD-004,query,advanced_date_date_diff,fullscan,004-date-diff-rewrite-corrupts-arguments.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_date_date_diff.json
STREAD-004,query,advanced_date_date_diff,stream,004-date-diff-rewrite-corrupts-arguments.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_date_date_diff.json
STREAD-004,query,advanced_date_date_diff,auto,004-date-diff-rewrite-corrupts-arguments.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_date_date_diff.json
STREAD-004,query,advanced_date_date_diff,query_sql,004-date-diff-rewrite-corrupts-arguments.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_date_date_diff.json
STREAD-006,query,advanced_boolean_is_unknown,pruned,006-is-unknown-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_boolean_is_unknown.json
STREAD-006,query,advanced_boolean_is_unknown,fullscan,006-is-unknown-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_boolean_is_unknown.json
STREAD-006,query,advanced_boolean_is_unknown,stream,006-is-unknown-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_boolean_is_unknown.json
STREAD-006,query,advanced_boolean_is_unknown,auto,006-is-unknown-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_boolean_is_unknown.json
STREAD-006,query,advanced_boolean_is_unknown,query_sql,006-is-unknown-rejected.md,../audit/sql_read_matrix_2026-09-14/failures/advanced_boolean_is_unknown.json
STREAD-010,query,controls_empty_physical_projection,pruned,010-empty-tables-cannot-be-read.md,../audit/sql_read_matrix_2026-09-14/failures/controls_empty_physical_projection.json
