issue,case_id,mode,evidence
STREAD-014,temporal_date_aggregate_year,pruned,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_date_aggregate_year.json
STREAD-014,temporal_date_aggregate_year,fullscan,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_date_aggregate_year.json
STREAD-014,temporal_date_aggregate_year,stream,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_date_aggregate_year.json
STREAD-014,temporal_date_aggregate_year,auto,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_date_aggregate_year.json
STREAD-014,temporal_date_aggregate_year,query_sql,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_date_aggregate_year.json
STREAD-014,temporal_timestamp_aggregate_year,pruned,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_timestamp_aggregate_year.json
STREAD-014,temporal_timestamp_aggregate_year,fullscan,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_timestamp_aggregate_year.json
STREAD-014,temporal_timestamp_aggregate_year,stream,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_timestamp_aggregate_year.json
STREAD-014,temporal_timestamp_aggregate_year,auto,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_timestamp_aggregate_year.json
STREAD-014,temporal_timestamp_aggregate_year,query_sql,../audit/sql_read_matrix_recheck_2026-09-14/failures/temporal_timestamp_aggregate_year.json
STREAD-014,alias_date_quoted,pruned,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_date_quoted.json
STREAD-014,alias_date_quoted,fullscan,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_date_quoted.json
STREAD-014,alias_date_quoted,stream,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_date_quoted.json
STREAD-014,alias_date_quoted,auto,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_date_quoted.json
STREAD-014,alias_date_quoted,query_sql,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_date_quoted.json
STREAD-014,alias_timestamp_quoted,pruned,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_timestamp_quoted.json
STREAD-014,alias_timestamp_quoted,fullscan,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_timestamp_quoted.json
STREAD-014,alias_timestamp_quoted,stream,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_timestamp_quoted.json
STREAD-014,alias_timestamp_quoted,auto,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_timestamp_quoted.json
STREAD-014,alias_timestamp_quoted,query_sql,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_timestamp_quoted.json
STREAD-014,alias_number_direct,pruned,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_direct.json
STREAD-014,alias_number_direct,fullscan,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_direct.json
STREAD-014,alias_number_direct,stream,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_direct.json
STREAD-014,alias_number_direct,auto,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_direct.json
STREAD-014,alias_number_direct,query_sql,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_direct.json
STREAD-014,alias_number_expression,pruned,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_expression.json
STREAD-014,alias_number_expression,fullscan,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_expression.json
STREAD-014,alias_number_expression,stream,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_expression.json
STREAD-014,alias_number_expression,auto,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_expression.json
STREAD-014,alias_number_expression,query_sql,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_expression.json
STREAD-014,alias_number_rollup,pruned,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_rollup.json
STREAD-014,alias_number_rollup,fullscan,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_rollup.json
STREAD-014,alias_number_rollup,stream,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_rollup.json
STREAD-014,alias_number_rollup,auto,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_rollup.json
STREAD-014,alias_number_rollup,query_sql,../audit/sql_read_matrix_recheck_2026-09-14/failures/alias_number_rollup.json
